franchise,releases,totalGross,titles,original
Marvel Cinematic Universe,34,12411703394,Avengers: Endgame > 04-26-2019 | Spider-Man: No Way Home > 12-17-2021 | Black Panther > 02-16-2018 | Avengers: Infinity War > 04-27-2018 | The Avengers > 05-04-2012 | Deadpool & Wolverine > 07-26-2024 | Avengers: Age of Ultron > 05-01-2015 | Black Panther: Wakanda Forever > 11-11-2022 | Captain Marvel > 03-08-2019 | Doctor Strange in the Multiverse of Madness > 05-06-2022 | Iron Man 3 > 05-03-2013 | Captain America: Civil War > 05-06-2016 | Spider-Man: Far from Home > 07-02-2019 | Guardians of the Galaxy Vol. 2 > 05-05-2017 | Guardians of the Galaxy Vol. 3 > 05-05-2023 | Thor: Love and Thunder > 07-08-2022 | Spider-Man: Homecoming > 07-07-2017 | Guardians of the Galaxy > 08-01-2014 | Iron Man > 05-02-2008 | Thor: Ragnarok > 11-03-2017 | Iron Man 2 > 05-07-2010 | Captain America: The Winter Soldier > 04-04-2014 | Doctor Strange > 11-04-2016 | Shang-Chi and the Legend of the Ten Rings > 09-03-2021 | Ant-Man and the Wasp > 07-06-2018 | Ant-Man and the Wasp: Quantumania > 02-17-2023 | Thor: The Dark World > 11-08-2013 | Black Widow > 07-09-2021 | Thor > 05-06-2011 | Ant-Man > 07-17-2015 | Captain America: The First Avenger > 07-22-2011 | Eternals > 11-05-2021 | The Incredible Hulk > 06-13-2008 | The Marvels > 11-10-2023,Iron Man > 05-02-2008
Top Gun,2,895514549,Top Gun: Maverick > 05-27-2022 | Top Gun > 05-16-1986,Top Gun > 05-16-1986
Frozen,2,878111587,Frozen II > 11-22-2019 | Frozen > 11-22-2013,Frozen > 11-22-2013
The Incredibles,2,870022836,Incredibles 2 > 06-15-2018 | The Incredibles > 11-05-2004,The Incredibles > 11-05-2004
The Conjuring Universe,9,824470735,The Conjuring > 07-19-2013 | The Nun > 09-07-2018 | The Conjuring 2 > 06-10-2016 | Annabelle: Creation > 08-11-2017 | The Nun II > 09-08-2023 | Annabelle > 10-03-2014 | Annabelle Comes Home > 06-26-2019 | The Conjuring: The Devil Made Me Do It > 06-04-2021 | The Curse of La Llorona > 04-19-2019,The Conjuring > 07-19-2013
Inside Out,2,1009084894,Inside Out 2 > 06-14-2024 | Inside Out > 06-19-2015,Inside Out > 06-19-2015
Finding Nemo,2,826010539,Finding Dory > 06-17-2016 | Finding Nemo > 05-30-2003,Finding Nemo > 05-30-2003
Indiana Jones,5,1080845689,Indiana Jones and the Kingdom of the Crystal Skull > 05-22-2008 | Raiders of the Lost Ark > 06-12-1981 | Indiana Jones and the Last Crusade > 05-24-1989 | Indiana Jones and the Temple of Doom > 05-23-1984 | Indiana Jones and the Dial of Destiny > 06-30-2023,Raiders of the Lost Ark > 06-12-1981
No Manches Frida,2,20799533,No Manches Frida > 09-02-2016 | No Manches Frida 2 > 03-15-2019,No Manches Frida > 09-02-2016
Jumanji,4,825355070,Jumanji: Welcome to the Jungle > 12-20-2017 | Jumanji: The Next Level > 12-13-2019 | Jumanji > 12-15-1995 | Jumanji/Jumanji: Welcome to the Jungle > 06-10-2018,Jumanji > 12-15-1995
Mechanic,2,21225799,Mechanic: Resurrection > 08-26-2016 | The Giant Mechanical Man > 04-27-2012,The Giant Mechanical Man > 04-27-2012
An Inconvenient Franchise,2,27642956,An Inconvenient Truth > 05-24-2006 | An Inconvenient Sequel: Truth to Power > 07-28-2017,An Inconvenient Truth > 05-24-2006
Iron Eagle,3,37174796,Iron Eagle > 01-17-1986 | Iron Eagle II > 11-11-1988 | Aces: Iron Eagle III > 06-12-1992,Iron Eagle > 01-17-1986
Earth,2,32092921,Earth > 04-22-2009 | Earth: One Amazing Day > 10-06-2017,Earth > 04-22-2009
Machete,2,34601807,Machete > 09-03-2010 | Machete Kills > 10-11-2013,Machete > 09-03-2010
Missing in Action,3,39761759,Missing in Action > 11-16-1984 | Missing in Action 2: The Beginning > 03-01-1985 | Braddock: Missing in Action III > 01-22-1988,Missing in Action > 11-16-1984
The Neverending Story,2,37532335,The NeverEnding Story > 07-20-1984 | The NeverEnding Story II: The Next Chapter > 02-08-1991,The NeverEnding Story > 07-20-1984
Johnny English,3,40800506,Johnny English > 07-18-2003 | Johnny English Reborn > 10-21-2011 | Johnny English Strikes Again > 10-26-2018,Johnny English > 07-18-2003
Unfriended,2,41348835,Unfriended > 04-17-2015 | Unfriended: Dark Web > 07-20-2018,Unfriended > 04-17-2015
3 Ninjas,4,41588439,3 Ninjas > 08-07-1992 | 3 Ninjas Kick Back > 05-06-1994 | 3 Ninjas: Knuckle Up > 03-10-1995 | 3 Ninjas: High Noon at Mega Mountain > 04-10-1998,3 Ninjas > 08-07-1992
The Boy,2,48431092,The Boy > 01-22-2016 | Brahms: The Boy II > 02-21-2020,The Boy > 01-22-2016
Highlander,4,46571278,Highlander II: The Quickening > 11-01-1991 | Highlander: Endgame > 09-01-2000 | Highlander: The Final Dimension > 01-27-1995 | Highlander > 03-07-1986,Highlander > 03-07-1986
Super Troopers,2,49109758,Super Troopers 2 > 04-20-2018 | Super Troopers > 02-15-2002,Super Troopers > 02-15-2002
Meatballs,3,50604203,Meatballs > 06-29-1979 | Meatballs Part II > 07-27-1984 | Meatballs III: Summer Job > 01-09-1987,Meatballs > 06-29-1979
The Last Exorcism,2,56213652,The Last Exorcism > 08-27-2010 | The Last Exorcism Part II > 03-01-2013,The Last Exorcism > 08-27-2010
A Haunted House,2,57371169,A Haunted House > 01-11-2013 | A Haunted House 2 > 04-18-2014,A Haunted House > 01-11-2013
Hot Tub Time Machine,2,62602207,Hot Tub Time Machine > 03-26-2010 | Hot Tub Time Machine 2 > 02-20-2015,Hot Tub Time Machine > 03-26-2010
Care Bears,3,34082968,The Care Bears Movie > 03-29-1985 | Care Bears Movie II: A New Generation > 03-07-1986 | The Care Bears Adventure in Wonderland > 08-07-1987,The Care Bears Movie > 03-29-1985
Three Flavours Cornetto,3,63184990,The World's End > 08-23-2013 | Hot Fuzz > 04-20-2007 | Shaun of the Dead > 09-24-2004,Shaun of the Dead > 09-24-2004
Fright Night,3,46208628,Fright Night > 08-02-1985 | Fright Night > 08-19-2011 | Fright Night Part 2 > 05-19-1989,Fright Night > 08-02-1985
47 Meters Down,2,66568091,47 Meters Down > 06-16-2017 | 47 Meters Down: Uncaged > 08-16-2019,47 Meters Down > 06-16-2017
House Party,3,65105500,House Party > 03-09-1990 | House Party 2 > 10-25-1991 | House Party 3 > 01-14-1994,House Party > 03-09-1990
Zoolander,2,74020943,Zoolander > 09-28-2001 | Zoolander 2 > 02-12-2016,Zoolander > 09-28-2001
Jeepers Creepers,3,75906555,Jeepers Creepers > 08-31-2001 | Jeepers Creepers 2 > 08-29-2003 | Jeepers Creepers III > 09-26-2017,Jeepers Creepers > 08-31-2001
Evil Dead,4,74065876,Evil Dead > 04-05-2013 | Army of Darkness > 02-19-1993 | Evil Dead II > 03-13-1987 | The Evil Dead > 01-01-1983,The Evil Dead > 01-01-1983
Strangers,2,77184318,The Strangers > 05-30-2008 | The Strangers: Prey at Night > 03-09-2018,The Strangers > 05-30-2008
Kick-Ass,2,76867288,Kick-Ass > 04-16-2010 | Kick-Ass 2 > 08-16-2013,Kick-Ass > 04-16-2010
The Shining,2,75599086,The Shining > 05-23-1980 | Doctor Sleep > 11-08-2019,The Shining > 05-23-1980
"Oh, God!",3,77730370,"Oh, God! > 10-07-1977 | Oh, God! You Devil > 11-09-1984 | Oh, God! Book II > 10-03-1980","Oh, God! > 10-07-1977"
Woman in Black,2,80834613,The Woman in Black > 02-03-2012 | The Woman in Black 2: Angel of Death > 01-02-2015,The Woman in Black > 02-03-2012
Sinister,2,75827858,Sinister > 10-12-2012 | Sinister 2 > 08-21-2015,Sinister > 10-12-2012
