id,Action,Adventure,SciFi,Drama,Fantasy,Comedy,Animation,Family,Romance,Musical,Crime,Thriller,War,Mystery,Biography,History,Horror,Sport,Western,Documentary,gross
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204145075
2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023042474
3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904979082
4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064875718
5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748319106
6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849476716
7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712235411
8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823698403
9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838539699
10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636238421
11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827279466
12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770930595
13,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,738474333
14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1140369650
15,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,574934330
16,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,647929057
17,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,754803218
18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675628189
19,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614038516
20,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,626526289
21,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,617378784
22,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,568952479
23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590084280
24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472510711
25,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,594740627
26,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,712036161
27,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,517303453
28,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788436168
29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508712476
30,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,555455312
31,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639807413
32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506875739
33,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,579909825
34,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,512846342
35,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428263871
36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534980198
37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518085377
38,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,541484855
39,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502842182
