id,distributor_id,release_month,release_day,original_IP,runtime,MPAA_id,genre_id,widest_release,theatrical_window,adj_domestic_gross
1,1,12,18,0,138,3,1,4134,380,1204145075
2,1,4,26,0,181,3,2,4662,250,1023042474
3,1,12,17,0,148,3,3,4336,380,904979082
4,1,12,18,1,162,3,4,3461,379,1064875718
5,1,5,27,0,130,3,5,4751,224,748319106
6,1,2,16,0,134,3,6,4084,319,849476716
7,3,12,16,0,192,3,7,4340,381,712235411
8,1,4,27,0,149,3,8,4474,249,823698403
9,1,6,12,0,124,3,9,4291,210,838539699
10,1,7,21,1,114,3,10,4337,424,636238421
11,1,5,4,0,143,3,11,4349,242,827279466
12,1,12,15,0,152,3,12,4232,382,770930595
13,1,6,15,0,118,2,13,4410,203,738474333
14,1,12,19,1,194,3,14,3265,378,1140369650
15,1,4,5,1,92,2,15,4371,271,574934330
16,1,7,19,0,118,2,16,4802,168,647929057
17,1,7,18,0,152,3,17,4366,532,754803218
18,1,12,16,0,133,3,18,4157,381,675628189
19,1,12,20,0,141,3,19,4406,378,614038516
20,1,3,17,0,129,2,20,4210,290,626526289
21,1,6,17,0,97,2,21,4305,203,617378784
22,1,11,22,0,103,2,22,4440,406,568952479
23,1,5,1,0,141,3,23,4276,245,590084280
24,1,11,11,0,161,3,24,4396,416,472510711
25,1,7,20,0,164,3,25,4404,168,594740627
26,2,5,19,0,93,2,26,4223,190,712036161
27,1,6,21,0,100,1,27,4575,196,517303453
28,1,5,19,0,136,2,28,3126,593,788436168
29,1,3,8,0,123,3,29,4310,299,508712476
30,2,11,22,0,146,3,30,4163,405,555455312
31,1,7,7,0,151,3,31,4133,182,639807413
32,1,6,22,0,128,3,32,4485,193,506875739
33,1,6,18,0,103,1,33,4028,203,579909825
34,1,6,2,0,141,3,34,4165,217,512846342
35,1,5,6,0,126,3,35,4534,240,428263871
36,1,5,3,0,130,3,36,4253,243,534980198
37,1,5,6,0,147,3,37,4226,240,518085377
38,2,3,23,1,142,3,38,4137,284,541484855
39,1,12,20,0,119,3,39,3849,377,502842182
40,1,5,3,1,121,3,40,3876,243,683769537
41,3,6,24,0,149,3,41,4293,191,571110302
42,1,11,22,1,102,2,42,3742,405,524155414
43,1,7,2,0,129,3,43,4634,183,465451395
44,1,5,5,0,136,3,44,4347,241,484566055
45,1,6,2,0,140,2,45,4332,213,381311319
46,1,7,15,0,130,3,46,4375,175,516117171
47,1,5,19,0,140,3,47,3663,227,593288301
48,1,12,17,0,201,3,48,3703,381,624353152
49,1,6,10,0,147,3,49,4697,210,392363970
50,1,6,30,0,127,3,50,4166,191,602606395
51,3,2,25,1,127,4,51,3408,311,597265285
52,1,7,1,0,87,2,52,4427,809,385512780
53,1,3,4,0,176,3,53,4417,303,384549513
54,1,7,8,1,86,2,54,4381,174,467988131
55,1,7,3,0,98,2,55,4003,547,481420429
56,1,4,15,0,106,2,56,4144,261,462119313
57,1,2,12,0,108,4,57,3856,324,460938102
58,1,6,11,1,115,2,58,1778,569,1134176741
59,1,5,5,0,150,3,59,4450,241,358995815
60,1,6,11,1,127,3,60,2566,569,752936453
61,1,6,19,1,95,2,61,4158,203,458256564
62,1,5,24,0,128,2,62,4476,222,423769363
63,1,4,3,0,137,3,63,4022,273,453815317
64,3,6,29,0,154,3,64,4088,186,477347650
65,1,12,25,1,133,4,65,3885,372,450646314
66,1,7,8,0,118,3,66,4375,177,357386829
67,1,3,4,1,108,2,67,3959,303,433258687
68,1,12,18,0,179,3,68,3622,379,575512264
69,1,5,30,1,100,1,69,3425,217,562564311
70,2,11,21,0,123,3,70,4151,406,433926307
71,1,5,4,0,139,3,71,4324,242,494652466
72,1,7,10,0,91,2,72,4311,182,432010438
73,1,10,4,0,122,4,73,4374,455,399803977
74,1,12,21,0,143,3,74,4184,376,406575693
75,1,7,7,0,133,3,75,4348,182,415436340
76,1,3,5,0,108,2,76,3739,302,466984167
77,1,8,1,0,121,3,77,4088,518,428830327
78,1,3,25,0,151,3,78,4256,282,419410316
79,1,7,21,1,180,4,79,3761,424,329862540
80,1,7,6,1,142,3,80,2365,544,677858118
81,1,9,8,1,135,4,81,4148,119,407083647
82,1,8,5,0,123,3,82,4255,154,412732281
83,3,5,18,0,93,2,83,4172,228,474353171
84,1,12,13,0,123,3,84,4227,385,381763882
85,3,7,3,0,144,3,85,4050,185,469247243
86,1,5,2,1,126,3,86,4154,974,450896245
87,1,5,18,0,119,4,87,4349,228,386468614
88,1,11,16,1,152,2,88,3672,411,546391333
89,1,5,22,0,122,3,89,4264,224,448769153
90,1,11,3,0,130,3,90,4080,424,391640383
91,1,12,19,1,178,3,91,3381,378,539145523
92,1,6,15,1,88,1,92,2624,565,643236944
93,1,5,7,0,124,3,93,4390,239,436580790
94,1,5,25,0,169,3,94,4362,221,454804738
95,1,5,25,1,121,2,95,1750,951,1544949038
